20000
1, 508
508, 1
1, 908
908, 1
1, 453
453, 1
1, 130
130, 1
1, 828
828, 1
1, 820
820, 1
1, 140
140, 1
1, 350
350, 1
1, 463
463, 1
1, 316
316, 1
2, 135
135, 2
2, 951
951, 2
2, 67
67, 2
2, 230
230, 2
2, 139
139, 2
2, 273
273, 2
2, 22
22, 2
2, 801
801, 2
2, 249
249, 2
2, 461
461, 2
3, 267
267, 3
3, 243
243, 3
3, 977
977, 3
3, 866
866, 3
3, 854
854, 3
3, 292
292, 3
3, 355
355, 3
3, 254
254, 3
3, 345
345, 3
3, 940
940, 3
4, 656
656, 4
4, 530
530, 4
4, 611
611, 4
4, 928
928, 4
4, 637
637, 4
4, 472
472, 4
4, 726
726, 4
4, 407
407, 4
4, 129
129, 4
4, 428
428, 4
5, 147
147, 5
5, 46
46, 5
5, 897
897, 5
5, 834
834, 5
5, 766
766, 5
5, 112
112, 5
5, 12
12, 5
5, 366
366, 5
5, 492
492, 5
5, 222
222, 5
6, 486
486, 6
6, 604
604, 6
6, 454
454, 6
6, 481
481, 6
6, 65
65, 6
6, 133
133, 6
6, 648
648, 6
6, 839
839, 6
6, 246
246, 6
6, 924
924, 6
7, 607
607, 7
7, 228
228, 7
7, 831
831, 7
7, 753
753, 7
7, 845
845, 7
7, 492
492, 7
7, 424
424, 7
7, 874
874, 7
7, 42
42, 7
7, 112
112, 7
8, 821
821, 8
8, 840
840, 8
8, 134
134, 8
8, 102
102, 8
8, 947
947, 8
8, 270
270, 8
8, 625
625, 8
8, 66
66, 8
8, 423
423, 8
8, 975
975, 8
9, 487
487, 9
9, 543
543, 9
9, 240
240, 9
9, 905
905, 9
9, 625
625, 9
9, 439
439, 9
9, 102
102, 9
9, 855
855, 9
9, 757
757, 9
9, 497
497, 9
10, 160
160, 10
10, 782
782, 10
10, 387
387, 10
10, 645
645, 10
10, 207
207, 10
10, 334
334, 10
10, 769
769, 10
10, 119
119, 10
10, 522
522, 10
10, 189
189, 10
11, 198
198, 11
11, 842
842, 11
11, 685
685, 11
11, 279
279, 11
11, 780
780, 11
11, 509
509, 11
11, 589
589, 11
11, 457
457, 11
11, 78
78, 11
11, 385
385, 11
12, 325
325, 12
12, 366
366, 12
12, 469
469, 12
12, 51
51, 12
12, 834
834, 12
12, 417
417, 12
12, 5
5, 12
12, 324
324, 12
12, 737
737, 12
12, 46
46, 12
13, 768
768, 13
13, 714
714, 13
13, 803
803, 13
13, 213
213, 13
13, 852
852, 13
13, 240
240, 13
13, 354
354, 13
13, 1000
1000, 13
13, 439
439, 13
13, 465
465, 13
14, 494
494, 14
14, 715
715, 14
14, 904
904, 14
14, 512
512, 14
14, 359
359, 14
14, 703
703, 14
14, 596
596, 14
14, 629
629, 14
14, 71
71, 14
14, 963
963, 14
15, 755
755, 15
15, 196
196, 15
15, 719
719, 15
15, 275
275, 15
15, 332
332, 15
15, 510
510, 15
15, 323
323, 15
15, 622
622, 15
15, 938
938, 15
15, 642
642, 15
16, 517
517, 16
16, 516
516, 16
16, 318
318, 16
16, 472
472, 16
16, 468
468, 16
16, 716
716, 16
16, 535
535, 16
16, 442
442, 16
16, 530
530, 16
16, 993
993, 16
17, 368
368, 17
17, 27
27, 17
17, 534
534, 17
17, 467
467, 17
17, 41
41, 17
17, 804
804, 17
17, 386
386, 17
17, 155
155, 17
17, 57
57, 17
17, 608
608, 17
18, 308
308, 18
18, 501
501, 18
18, 781
781, 18
18, 647
647, 18
18, 738
738, 18
18, 888
888, 18
18, 302
302, 18
18, 926
926, 18
18, 342
342, 18
18, 765
765, 18
19, 89
89, 19
19, 663
663, 19
19, 941
941, 19
19, 515
515, 19
19, 882
882, 19
19, 317
317, 19
19, 744
744, 19
19, 838
838, 19
19, 436
436, 19
19, 337
337, 19
20, 336
336, 20
20, 724
724, 20
20, 88
88, 20
20, 964
964, 20
20, 123
123, 20
20, 657
657, 20
20, 859
859, 20
20, 180
180, 20
20, 514
514, 20
20, 679
679, 20
21, 734
