20000
1, 508, 6.401790
508, 1, 6.401790
1, 908, 34.813854
908, 1, 34.813854
1, 453, 36.422748
453, 1, 36.422748
1, 130, 37.020964
130, 1, 37.020964
1, 828, 37.762355
828, 1, 37.762355
1, 820, 44.174380
820, 1, 44.174380
1, 140, 47.993220
140, 1, 47.993220
1, 350, 49.986138
350, 1, 49.986138
1, 463, 58.701235
463, 1, 58.701235
1, 316, 60.208625
316, 1, 60.208625
2, 135, 32.779469
135, 2, 32.779469
2, 951, 38.117347
951, 2, 38.117347
2, 67, 40.005488
67, 2, 40.005488
2, 230, 43.438004
230, 2, 43.438004
2, 139, 44.973568
139, 2, 44.973568
2, 273, 50.562222
273, 2, 50.562222
2, 22, 51.915176
22, 2, 51.915176
2, 801, 57.447229
801, 2, 57.447229
2, 249, 67.071303
249, 2, 67.071303
2, 461, 67.658437
461, 2, 67.658437
3, 267, 11.340247
267, 3, 11.340247
3, 243, 30.226492
243, 3, 30.226492
3, 977, 32.849680
977, 3, 32.849680
3, 866, 35.300300
866, 3, 35.300300
3, 854, 40.159889
854, 3, 40.159889
3, 292, 40.533344
292, 3, 40.533344
3, 355, 44.806918
355, 3, 44.806918
3, 254, 47.921716
254, 3, 47.921716
3, 345, 35.611873
345, 3, 35.611873
3, 940, 52.439602
940, 3, 52.439602
4, 656, 11.808235
656, 4, 11.808235
4, 530, 13.824088
530, 4, 13.824088
4, 611, 22.788801
611, 4, 22.788801
4, 928, 29.389904
928, 4, 29.389904
4, 637, 35.710562
637, 4, 35.710562
4, 472, 37.720385
472, 4, 37.720385
4, 726, 42.244910
726, 4, 42.244910
4, 407, 45.802727
407, 4, 45.802727
4, 129, 51.758270
129, 4, 51.758270
4, 428, 59.923850
428, 4, 59.923850
5, 147, 20.779026
147, 5, 20.779026
5, 46, 25.696344
46, 5, 25.696344
5, 897, 26.463985
897, 5, 26.463985
5, 834, 30.795416
834, 5, 30.795416
5, 766, 52.176080
766, 5, 52.176080
5, 112, 55.420296
112, 5, 55.420296
5, 12, 57.247847
12, 5, 57.247847
5, 366, 57.613101
366, 5, 57.613101
5, 492, 59.855437
492, 5, 59.855437
5, 222, 65.148063
222, 5, 65.148063
6, 486, 24.950856
486, 6, 24.950856
6, 604, 12.997135
604, 6, 12.997135
6, 454, 31.197510
454, 6, 31.197510
6, 481, 14.398550
481, 6, 14.398550
6, 65, 39.787586
65, 6, 39.787586
6, 133, 20.207696
133, 6, 20.207696
6, 648, 20.741585
648, 6, 20.741585
6, 839, 46.988948
839, 6, 46.988948
6, 246, 24.915720
246, 6, 24.915720
6, 924, 57.388872
924, 6, 57.388872
7, 607, 13.947736
607, 7, 13.947736
7, 228, 19.707929
228, 7, 19.707929
7, 831, 21.992030
831, 7, 21.992030
7, 753, 29.811078
753, 7, 29.811078
7, 845, 32.595684
845, 7, 32.595684
7, 492, 32.688904
492, 7, 32.688904
7, 424, 36.599059
424, 7, 36.599059
7, 874, 50.995666
874, 7, 50.995666
7, 42, 51.549491
42, 7, 51.549491
7, 112, 52.478347
112, 7, 52.478347
8, 821, 9.339697
821, 8, 9.339697
8, 840, 9.552527
840, 8, 9.552527
8, 134, 11.790045
134, 8, 11.790045
8, 102, 16.842564
102, 8, 16.842564
8, 947, 17.303263
947, 8, 17.303263
8, 270, 27.460233
270, 8, 27.460233
8, 625, 20.525419
625, 8, 20.525419
8, 66, 21.880105
66, 8, 21.880105
8, 423, 22.004085
423, 8, 22.004085
8, 975, 36.314104
975, 8, 36.314104
9, 487, 1.572096
487, 9, 1.572096
9, 543, 4.214182
543, 9, 4.214182
9, 240, 9.904647
240, 9, 9.904647
9, 905, 11.056943
905, 9, 11.056943
9, 625, 11.107113
625, 9, 11.107113
9, 439, 11.680374
439, 9, 11.680374
9, 102, 14.046166
102, 9, 14.046166
9, 855, 6.453975
855, 9, 6.453975
9, 757, 15.012481
757, 9, 15.012481
9, 497, 6.816847
497, 9, 6.816847
10, 160, 0.978408
160, 10, 0.978408
10, 782, 1.319348
782, 10, 1.319348
